Company,rating,reviewer,review_text
Minimalix,1,PrimeBiz Digital,"This company runs on fake promises. They talk big about lead generation but deliver nothing useful. In many cases, buyers don't get leads at all, and if they do, it's just irrelevant or outdated contacts. Be careful before investing your money here."
Minimalix,1,SW TT,"Minimalix is a complete scam. Once you make the payment, either you get no leads at all or they send you old, recycled data that doesn’t convert. It’s a waste of time and money. Think twice before trusting them with your business growth."
Minimalix,1,Ashish Agrawal,"Kuch nhi karte ye, they are not professional, bas bolte hai karte nhi"
Minimalix,5,Aditi Gaur,Good company and cooperative.
Minimalix,1,Ashutosh Sahu,
Minimalix,1,Chandru Shekar,"Poor service, poor response, I have got bad experience from minimalix ,I won't suggest for anyone, nor futher I won't take leads from minimalix , simply they will give some leads that are useless, we should keep on follow ups for the replace the leads , than also no good response from minimalix"
Minimalix,1,Ravi Raina,"You trust , when some one makes a commitment and delivers .. These people made a commitment costing me some 4.5K but only shifting dates and then have gone out of communication . DONOT TRUST"
Minimalix,5,Navratan Jangid,"I've had the pleasure of using Minimalix's exceptional services for almost 2.5 years now! As an interior designer based outside Pune, I can confidently say they're the best in the market. Their end-to-end solutions for interior design professionals have streamlined my business, allowing me to focus on delivering top-notch designs. Highly recommended!"
Minimalix,5,Updesh Singh,Unexceptional customer support with value for money services. Highly recommended
Minimalix,5,Zirkon Reno,
Minimalix,5,76 - Sahil Tambe,"Minimalix is a highly coordinated and reliable brand for pre-qualified leads. Their team ensures a smooth process from start to finish, making them a trusted choice. Their professionalism and efficiency make lead generation seamless. Excellent customer support and transparency throughout the process."
Minimalix,5,S.A. Technical Point,The leads provided by Minimalix were exceptionally qualified and led to a substantial improvement in our sales conversion rate. It was a pleasure meeting Minimalix.
Minimalix,5,satyam garg,Really liked there services alot adarsh is the man of his words great guy
Minimalix,1,manoj shrivastava,"Not reliable.
 Leads dont respond
 Then they provide replacement after 10 days delay and followup and what you end up getting is a lead where the project is already completed.
 
 75% drop outs.
 
 Too expensive and not worth it"
Minimalix,5,Sahanaz Parveen,Highly recommended to interior design professionals to collaborate with Minimalix
Minimalix,5,Maman,First time i have ever seen such wonderfull company in interior design industry
Minimalix,5,Sonu Sk,Unbelievable customer support
Minimalix,5,anurag gupta,
Minimalix,5,Nitish Jha,Good company with excellent customer service
Minimalix,5,Bheemsen Verma,"Game-changer! Minimalix's Delivers exclusive and pre-qualified interior leads=consistent conversion. Whuch saves time, money and energy. Highly recommended to fellow interior design pro"
Minimalix,5,Wajed Alam,Recently I have purchased PLP Pro Plus package from Minimalix. As per my experience their are no alternative who can beat their speed and quality leads. Highly recommended to Interior Design Pro
Minimalix,5,Saraswati,Good experience
Minimalix,5,Navratan singh,"Minimalix deleviers exceptional service! Their pre-qualified leads have a boosted my interior design business. Exclusive connections and tailored support have significantly increased conversion. Professional, efficient and result driven company. Never ever seen great company in my interior design career."
Minimalix,1,RūHAN SHETE,"Title: Poor Value for Money with PLP Pro
 Review:
 I recently bought the PLP Pro package from Minimalix, expecting to get good leads. But I was really disappointed.
 Out of the 6 leads I got, 3 were useless or didn't need my services. I've been trying to contact the company for over a week, but they haven't given me any clear answers. Even the owner hasn't been helpful.
 Based on my experience, I wouldn't recommend Minimalix to anyone. The leads are not worth the money, and their customer service is terrible."
Minimalix,5,Mithun Rajbanshi,Feeling wow! Minimalix is exceptional company in interior design industry which is interior design pprofessionals like me almost 24*7. Big salute to Minimalix. Keep rocking 👍️
Minimalix,5,Anil Rai,Good company with affordable services. Highly recommended for property owners for home interiors
Minimalix,5,Rohini Singh,I have had a very good experience with Minimalix. Their support has been very helpful in my career. They understand the needs of the customers very well and also fulfill them. The whole team is supportive 24*7.
Minimalix,4,Sonu Tiwari,"Minimalix is fantastic company, Their pre-qualified and exclusive interior design leads plan are too much effective for interior design professionals like me. Highly recommend to Professional."
Minimalix,5,deependra tiwari,"Minimalix is game changer! High quality leads, along with affordable design services. Efficient and trust worthy company."
Minimalix,5,Comedy With kapil,"Excellent service! Minimalix delivers high-quality, pre-qualified and exclusive interior design project lead. Boosted my business by 2X within 6 months. Big salute to Minimalix support team."
Minimalix,5,Maherul Islam,"Recent I have subscribed PLP Pro, I'm really impressed towards Minimalix. First time I have found such company in the market. Special thanks to Minimalix support team for their prompt response."
Minimalix,5,Dhruv mahendra kumar Sharma,Customer service support is better than just dial and minimalix provide geniune customer
Minimalix,1,Sushant Gupta,
Minimalix,5,Jitendra Chaudhary,Excellent company with affordable services
Minimalix,5,Salim Shekh,Good company with excrllent customer support. Highly recommonded for interior design pro
Minimalix,5,Sherali khan,
Minimalix,5,Kapil Dev Sharma,
Minimalix,5,Sachin Kumar,Good company with excellent customer support
Minimalix,5,Sakandar Alom,Perfect company for interior design professionals.
Minimalix,5,Govind Pandey,Good company and polite customer support team.
Minimalix,5,Pappu Paswan,I'm using Minimalix's leads plan services past 2 years. As per my honest experience their are no alternative in the market as per their quality of leads and prompt customer services. Customer support team is enough supportive and polite behaviour. Highly recommended to interior design professionals
Minimalix,1,ahmed abdullah,They are fraud had taken money from me for leads .from one months they are not providing service when asked for refund they don't refund and not answer the call.
Minimalix,5,Pramod Kumar,Recently I have h purchased leads plan from Minimalix. Satisfactory results with exceptional customer support
Minimalix,5,Dibya Lochan Behera,Unbelievable customer support. Highly recommend
Minimalix,5,Kirtiranjan Swain,Good company
Minimalix,5,Akhter Hussain,Good company with affordable services
Minimalix,5,Altaf Alam,
Minimalix,5,Gopal Dey,
Minimalix,5,NITIN VERMA,
Minimalix,4,Arun Gupta,Good company
Minimalix,5,Faheem Malik,Go ahead with Minimalix if you are an Interior Designer or Architect. Highly recommended to interior design professionals as per my experience
Minimalix,5,Ghan Shyam,Good job
Minimalix,5,Mohit,"Nice company , full supportive"
Minimalix,5,B Kumar,Unbelievable customer support. Looking for long term collaboration with Minimalix
Minimalix,5,Mahesh Thapa,
Minimalix,5,Anil Kumar,Highly recommended to interior design professionals for collaborations.
Minimalix,4,Suraj Yadav Yadav,Excellent customer support
Minimalix,1,sumit arora,"Totally a fraud company, bought a leads providing service from them, neither they provided any leads nor they are refunding the amount, they do not attend to any calls nor they reply on emails, don't fall in their trap, save your money"
Minimalix,5,Firoj Kamal,Good company with excellent customer support. Overall 30-40% Lead conversion rates. Frist time I have found such company in my entire career. Highly recommended
Minimalix,4,KeyRatioDesigns dp,"This platform is good to get secured and good quality interior and architectural leads, and they help us immediately during any query or questions... Thankyou for providing us such quality leads.. keep it up and hope for more collabs in future.. regards from Team Key Ratio Designs..."
Minimalix,5,Dharti Patel,Main apki service se bahut impressed hun. Apki service mujhe bhut sahi lagi bhut acche acche client bhi diye Hain apne mujhe....thankx
Minimalix,5,Yashu Rao,Perfect company with affordable services. Highly recommended
Minimalix,5,Suraj Yadav,Excellent customer suppor. 24*7 for sure
Minimalix,5,Shahab Ali,
Minimalix,4,Santosh,"Today's I have subscribed PLP Pro, Unbelievable support system with worth of money services. Highly recommended"
Minimalix,5,Kamlesh Pal,Excellent customer support experience
Minimalix,5,ram Yadav electrical & plumber,
Minimalix,4,Sanjay,Recently I have subscribed PLP Pro. Worth it🙌🏻
Minimalix,5,Sharvan Kanaujiya,Excellent customer experience
Minimalix,4,Rupesh Yadav,Good company
Minimalix,5,Gulshan X__mart,At all everythings is overall perfect compare to other competitors. Especially their customer support team
Minimalix,5,Rmx Raj,Good services with affordable price
Minimalix,4,Nowsad Ali,Unbelievable customer support with value for money services.
Minimalix,4,Raja Kumar,Overall good experience with Minimalix compair to previous experience
Minimalix,5,Alok Kumar,
Minimalix,5,Divyanshi bhatt,Good job
Minimalix,5,Ruhul amin,Love you
Minimalix,4,Nikhil Sharma_13,
Minimalix,5,Rubel Sarkar,As per my experience Minimalix is one of the top rated company in Interior Design Industry
Minimalix,1,ashutosh rajeev Singh,
Minimalix,5,santosh sah,Good company. Prompt responses from customer support team
Minimalix,1,Siddharth Tripathi,"I had pathetic experience working with this people, they have always tried not to pick my call after taking the money and I have been chasing them since depositing my money. Guys please stay away from these cheaters and looters, sharing my feed by because I have lost the money so I don't want others to lost money"
Minimalix,5,himanshu rout,Value for money products with excellent customer support. Highly recommended
Minimalix,5,Deepak Panchal (1st Setup),good
Minimalix,5,Jalil Ansari,Perfect company
Minimalix,5,ranjana dhiman,"They have given us very good work, their team is also very good and helps us."
Minimalix,5,Pratap Yadav,Good 👍 company
Minimalix,5,Sanoj Maurya,As per my experience Minimalix is top rated company for Interior Design professionals. Thire customer support team is always available to listen your concern and solve within 24 hrs.
Minimalix,5,Sawarjeet Nishad,Wonderful company
Minimalix,5,Don Don,
Minimalix,5,Gyandas Yadav,Minimalix did amazing interior design work in my 3 bhk flats. I am really very happy with work they do and the way treat their clients with great followup from the management team from initial designs to completion. And the quality of the materials used therein and their professionalism is on point. I am proudly recommending Minimalix for interior design works
Minimalix,5,ritu devi,3 I have approched Minimalix through Facebook ad for 2bhk home interiors. In the last week they have completed my project in the committed deadlines with outstanding support system
Minimalix,5,ritesh singh,Good company
Minimalix,4,Suraj Kumar,
Minimalix,1,Ramesh Vishwakarma,
Minimalix,4,Mukesh Saini,
Minimalix,5,sonu kumar,As per my experience Minimalix is one of the most reliable company with excellent customer support
Minimalix,5,Seema Shrivastav,PLP Pro is a great subscription that has helped me get great leads
Minimalix,5,Umesh Saroj,High response rate with value for money services
Minimalix,5,Satydev Singh,Excellent customer support
Minimalix,5,Ak,Good services
Minimalix,1,Vickey Sidhpura,
Minimalix,5,Laxmi Prasad Pal,
Minimalix,5,Chhotu,Excellent customer support and easily convertable customers
Minimalix,5,Rohit Shaw,Value for money services
Minimalix,1,Adeeba Ahsan,"Please resolve my problem , as per your given time in up coming 3 working days"
Minimalix,5,Hari Meena,One of the best company in Delhi NCR with value addition services. Highly recommended to interior design professionals
Minimalix,5,Sadiya Khatun,Best quality service with almost 24*7 support
Minimalix,5,Juyel Khan,Worth of money services and excellent customer suppor.
Minimalix,5,Rushali Ramani,The team and the head is so cooperative. They understand well to their employees and helps out in every problem.
Minimalix,5,Ankit Chauhan,"I recently had the pleasure of working with minimalix on a project. I was very impressed with the level of service and support I received. The team was knowledgeable, friendly, and efficient. They went above and beyond to meet my needs. Its an honor for me to work with this organization."
Minimalix,5,Rajesh Kumawat,Best services
Minimalix,1,Shivam Malvade,
Minimalix,5,Karan Mehta,
Minimalix,5,Dilkhush Alam,"Excellent customer support and worth of money services. Simple way to contact the team via WhatsApp, email and call almost they are available 24*7"
Minimalix,5,Abhi Mangotra,As per my experience Minimalix is one of the most reliable company for Interior design professionals and PLP Pro is worth of money. One suggestions to Minimalix from my end increase number of Cities because where I can expand my business.
Minimalix,1,MSM INTERIOR & CONSTRUCTION,Mini militia professional fraud company advance payment Rs-5000 call pic nahin karte manager Aditya professional fraud 👎
Minimalix,3,Shweta Nibjiya,
Minimalix,5,Aurangzeb khan,Good
Minimalix,1,Ashish Thapliyal,Ek dum fraud company. Paise lene k baad response hi karna band krdete h.
Minimalix,4,Vinod Tawale,"Good service, go with 10K packages always...."
Minimalix,1,Bablu Hazra,Fraud company my personal experience
Minimalix,1,Subhas Bag,Fraud company isko Baat sunkar Paisa Dega to phone receive Nahin Karega Jo Paisa Dega pura West ho jaega
Minimalix,5,Rishu Aggarwal,Affordable pricing and on time services delivery is most interesting part at Minimalix. Got a living rooms and modular kitchen design from Minimalix. Highly recommended to property owner's who's looking for interior design services. Best of luck team minimalix
Minimalix,4,RISHABH BANSAL,Wonderful and Reliable team with prompt response. Thanks to entire team.
Minimalix,5,Akhil Das,
Minimalix,4,MANOJ KUMAR BAIRWA,PLP Pro is worth of money and customer support team is muchh enough supportive and sincincer to help you as much as they can .
Minimalix,5,Babulal Bhartpur,As per my experienc Minimalix is one the best and most responsive company for Inferior Design services. One time project delivery with value for money philosophy.
Minimalix,4,Vinita Singh,"i had connected as a demo with them but now after see their work I want to join them every year, very good understanding, very good response.
 Thankyou !"
Minimalix,1,Abhinav gupta,
Minimalix,5,Sujoy Das,
Minimalix,1,Aasif ali,Really bad company.
Minimalix,5,Asharam Yadav,Full Paisa vasool product and highly recommend PLP Pro to Interior design professionals
Minimalix,5,Ganesh Aashiq,
Minimalix,5,Bijender Kumar,One of the best Interior design company in Delhi NCR with excellent customer service .
Minimalix,5,Ratan Verma,PLP Pro is world class product snd excellent customer service
Minimalix,5,Wasim Makrani,Good experience working with this firm
Minimalix,5,MUKESH entertainer,
Minimalix,5,Tulsi Ram Ahirwal,
Minimalix,4,harshit sadh,It takes time and multiple follow-ups. but need to have patience with them. But are genuine people. Pls have patience with them if you are new.
Minimalix,4,Chandan Sharma,
Minimalix,5,shivani vashishtha,Leads provided by the company is genuine . Glad to invest in this faithful company
Minimalix,5,Anil Kumar,Excellent customers service and PLO Pro is worth of Money.
Minimalix,5,Manoj Singh Rawat,PLP Pro is worth of money......Minimalix developed India's no.1 ptoduct for interior design professionals.
Minimalix,1,Firoz Saifi,Very bed company aur 3rd grade owner
Minimalix,1,Zaid,Ye company ek dam frood hai paise leke fir call bhi nahi uthate hai inka Kam hai logo se paise Lelo aur fir unka bewakoof banate raho is company ki Thane me sikayat honi chahiye aur inhe salakho ke piche hona chahiye
Minimalix,5,Deepak Giri,I'm satisfied with PLP Pro......Got 9 potential customers. Thank you team Minimalix
Minimalix,5,Manirul islam Islam,PLP is India's one of the best product. Customer support is excellent and in short Minimalix is strong competitor in interior design industry. Highly recommended to Interior design professionals.
Minimalix,5,Vikram Singh,"बहुत अच्छा लगा minimalix के साथ, staff बहुत अच्छा है, पहले जहां से लीड ले रहे थे उनके साथ Experience अच्छा नहीं रहा"
Minimalix,5,Pawan Kumar,
Minimalix,5,Sukrait Mandal,Fool Paisa vasool hai PLP Pro
Minimalix,5,Satish Raj,I have purchased PLP Pro 3 weeks ago. Till date I have closed 2 projects worth INR 43lac. I have realized Minimalix team is too much supportive and committed for excellent customer services.
Minimalix,5,Ajay Kumar,
Minimalix,5,chandresh kumar,Fully supportive organization
Minimalix,1,Aabsolute Interiors & Exteriors,They are cheaters. They will take money in promising to give leads and they waste time for some period again they will ask for more money. They don't have any projects with them. Don't believe and give money.
Minimalix,5,Abhishek Anand,Very cooperative and understands the client and their needs
Minimalix,1,Hardik Kaul,"Please be careful before choosing to go ahead with them. Dont put your hard earned money here
 If you put a bad review they will say that you are not in their record.
 I paid them and after that they stopped picking up my calls if anyone wish to see the screenshot i have them."
Minimalix,4,Hari Mohan Singh,
Minimalix,1,UDAY PRAKASH MISHRA,
Minimalix,1,Jay Bahadur Maurya,
Minimalix,5,Anil kumar ahirwar Anil kumar ahirwar,I have purchased PLP Pro one week ago.... I have received 8 confirmed meeting for commercial and residential projects. Minimalix team really too much supportive and polite.
Minimalix,4,MIDHUN K,Satisfied with Minimalix's interior work.
Minimalix,5,RAHUL CR,The work is good and the designs are pretty unique.
Minimalix,1,Sachin Hs,"Not promissing as they talked and approached for the 1st meeting , as well as not answering as they shown, I have very bad experience about him, they talked on e thing and next moment reversed the statement they did"
Minimalix,1,Himanshu Salve,
Minimalix,5,Dheeraj Giri,I'm 100% satisfied with Minimalix. I have Minimalix is one of the best company in Delhi NCR. Execution team is very polite and management are very supportive. I'm highly recommending Minimalix for interior design services.
Minimalix,5,Ajaykumar Ajaykumar,One of the best company for interior design services
Minimalix,4,Prabhakar Mall,Minimalix did amazing Interior Design work in my apartment. I'm really very happy with the work they do and the way they treat their customers with great follow up from the management from start to finish and the quality of the materials used was as per my expectations.
Minimalix,5,BALBINDER MALL,"I'm an Interior Designer and achieveing my business goal more than my expectations. i really got to happy with PLP Pro Package. My experience is good , backend team are very supportive and they give me best suggestions and support for conversion/sales. I'm highly recommending PLO Pro to Interior Designer and Turnkey Contractors."
Minimalix,5,S. Kumar,
Minimalix,5,Somnath Dolai,I must mention that minimalix team are very professional and have very unique skills to understand customer need and executive on it accordingly. I'm highly recommendin to everyone for interior design needs.
Minimalix,4,Deepak Babu,
Minimalix,5,anshul yadav,
Minimalix,5,Sishmita Kumari,
Minimalix,5,Imran Sk,
Minimalix,5,Neeraj singh Neeraj,
Minimalix,5,Sharukh Khan,
Minimalix,5,nitin yadav,Minimalix is all about value for money and deadline driven
Minimalix,1,Ankita Raj,Bahut ghatiya company hai
Minimalix,1,Mohammad Aslam,Worst company of my life
Minimalix,1,S. P.,
Minimalix,1,Anil Kumar,
Minimalix,1,विजय मौर्य,
Minimalix,5,Tej Singh,
Minimalix,5,Sudhir Kumar,Minimalix is all about value for money and deadline driven company.......And 100℅ strict on terms of payment. Thank you design team for the your work ethic which you have shown during my projec.
Minimalix,5,Rajat Chauhan,
Minimalix,4,Mayank jaggi,
Minimalix,5,Amisha singh,
Minimalix,4,Pintu Singh,I got know about Minimalix through word of mouth. It was through my friend. The experience with the team Minimalix was out of my expectations. I'm highly recommending for home interior needs. But one negative thing in this company you can face which is delay (Roughly i week delay I have faced) if you can consider so Minimalix will be one of the best choice for your needs.
Minimalix,5,Ranjit Kumar,Affordable and on time delivery
Minimalix,5,Tinku Kumar,Value for money
Minimalix,5,Neeraj Yadav,
Minimalix,5,Ganesh paswan,
Minimalix,1,Ankit Soni,
Minimalix,1,ANKIT 20bap1240,
Minimalix,1,Ankit Soni,
Minimalix,5,Sourabh Kumar,One of the best company in India for interior design services.
Minimalix,1,Tiwari Bhawan,
Minimalix,5,rajifa sekh,
Minimalix,5,Raj Jha,
Minimalix,5,VKR03 CHANNEL,
Minimalix,5,Shivam Bhardwaj,
Minimalix,5,Dileep Kumar,
Minimalix,5,Krishan murari Kumar,
Minimalix,5,azam ali,
Minimalix,5,Deepak Singh,"I got experience more than expected.
 Entire team is very polite and always ready to support"
Minimalix,5,Arjun Raj,
Minimalix,5,Sonia Rani,
Minimalix,5,rahul kumar agrahari,
Minimalix,5,Prashant Pandey,
Minimalix,5,Mohitrajawat Harauli,I'm 100% satisfied with Minimalix. Entire team are very professional always trying to meet your expectations
Minimalix,5,Kashyap Ajay,Full Paisa Vasool.....Minimalix is deleverd to me more than expected
Minimalix,1,vivek tanwar,
Minimalix,5,Sourabh Sharma,
Minimalix,5,Rahul pratap Singh,
Minimalix,5,Pulkit Dudeja,
Minimalix,1,HR Rahul Singh,
Minimalix,5,Rohan Singh,
Minimalix,4,Ajay Patel,
Minimalix,5,ABHISHEK SHARMA,
Minimalix,5,Bipin Maurya,
Minimalix,1,Fahima K.,
Minimalix,4,VIJAY SINGH,Affordable price
Minimalix,5,Kuldeep Sharma,Excellent servic I have never seen
Minimalix,4,susanta dawan,Very professional team
Minimalix,3,Kumar Jvk,Nothing special....Average company....Team is very polite
Minimalix,5,Smita Patel,
Minimalix,5,PRAMOD KUMAR,100% satisfied hun iss company se...team bhi kafi achhi hai
Minimalix,4,Aditya Giri,Very professional team.
Minimalix,4,Ankit Singh,
Minimalix,5,Vanshika Rajput,
Minimalix,5,Anil Yadav,
Minimalix,5,Deepak Yadav,
Minimalix,5,Kishore Kumar Biswal,
Minimalix,5,Vikas Kumar,
Minimalix,5,shree prakash,
Minimalix,5,Digitaload,
Minimalix,5,Ramadheen Yadav,Minimliks ek good compny wiswas ke layak hai .
Minimalix,5,Rajesh Bhuvad,
Minimalix,5,Online DEV,
Minimalix,5,Ashutosh Yadav,
Minimalix,5,Anuruddh Bodhisattv,
Minimalix,4,Sunil Kumar Gupta,
Minimalix,5,Ashutosh Mishra,
Minimalix,5,Invista Global,
Minimalix,5,Ashish Tyagi,"Very good service.. Good behavior of team
 Really india is fortunate enough to have such firm."
Minimalix,5,Dr. Mohan Shende (Anandamohan),"We Offer A One-Stop Customized Solution For All Your Décor Needs to Match Your Lifestyle. One Stop Solution For Creating Your Dream Home. Book An Appointment Today! Personalized Designs. End to End Execution.'
 
 All services by company should be listed for consumers and as well as non consumer also one who see or listen"
Minimalix,5,Adsspot Grow your Business with us,
Minimalix,5,Vijay Kumar,
Minimalix,5,PAPPU KUMAR YADAV,
Minimalix,5,Manish Kumar,
Minimalix,5,Kshitij Paranjape,
Minimalix,5,ANAND YADAV,
Minimalix,5,Dheeraj Yadav,
Minimalix,5,Sandeep Kumar Gupta,
Minimalix,5,Study Point,
Minimalix,5,Subhash Sisaudiya,
Minimalix,5,Vikas Verma,
Minimalix,1,lakshya suneja,
Minimalix,5,twinkle sawlani,services worth paying.. I am happy to get the work done from them.
